               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15629,             0.11377,            0.057623,          0.00074878,           0.0087528,          0.00041458,          9.7297e-05,             0.14262,             0.19346,            0.054279,            0.070294,           0.0033007,           0.0033007
                   1,             0.13819,             0.13457,            0.047943,             0.11794,            0.051801,            0.017907,           0.0054892,             0.13165,             0.22455,            0.052214,            0.040261,           0.0066011,           0.0066011
                   2,             0.13051,             0.15015,             0.04427,             0.53991,            0.079107,            0.035114,            0.012539,             0.12473,             0.25366,            0.045094,            0.010195,           0.0098686,           0.0098686
                   3,             0.12433,             0.15552,            0.040215,             0.45575,             0.10965,            0.052938,             0.01936,             0.12039,             0.23836,            0.041956,           0.0098515,           0.0098515,           0.0098515
                   4,             0.12061,             0.15916,            0.038204,             0.37719,             0.15454,            0.082812,            0.030989,              0.1179,             0.22365,            0.042345,           0.0098515,           0.0098515,           0.0098515
                   5,             0.11836,             0.15774,            0.037216,             0.38004,             0.15746,            0.086033,             0.03092,              0.1167,              0.2306,            0.038234,            0.009802,            0.009802,            0.009802
                   6,              0.1166,             0.15781,            0.036151,             0.31232,             0.17965,             0.10537,            0.045686,              0.1133,             0.21699,            0.038612,           0.0097525,           0.0097525,           0.0097525
                   7,             0.11549,             0.15729,            0.035532,             0.44173,             0.17335,             0.11945,            0.049495,             0.11179,              0.2155,            0.036647,            0.009703,            0.009703,            0.009703
                   8,             0.11435,              0.1586,            0.034791,             0.46301,             0.18274,             0.13335,            0.056848,             0.11088,              0.2193,            0.036386,           0.0096535,           0.0096535,           0.0096535
                   9,             0.11341,              0.1583,            0.034084,              0.4867,             0.19479,              0.1496,            0.066889,             0.10958,             0.21678,             0.03607,            0.009604,            0.009604,            0.009604
                  10,             0.11285,             0.15651,            0.033557,             0.38568,             0.20643,             0.15216,            0.064356,             0.10947,             0.21907,            0.035637,           0.0095545,           0.0095545,           0.0095545
                  11,             0.11222,             0.15827,            0.032883,             0.38799,             0.19087,             0.15748,            0.069913,             0.10889,             0.21407,             0.03528,            0.009505,            0.009505,            0.009505
                  12,             0.11166,             0.15723,             0.03261,              0.4083,              0.2063,             0.16784,            0.075911,             0.10851,             0.21059,            0.035022,           0.0094555,           0.0094555,           0.0094555
                  13,             0.11111,             0.15664,            0.032356,             0.40621,             0.20329,             0.16768,            0.075297,             0.10832,              0.2178,            0.034259,            0.009406,            0.009406,            0.009406
                  14,             0.11041,             0.15775,            0.031765,              0.4078,             0.21005,             0.17374,            0.079772,             0.10731,              0.2136,            0.034251,           0.0093565,           0.0093565,           0.0093565
                  15,             0.11023,             0.15709,            0.031544,             0.45432,             0.20137,             0.17916,            0.081596,             0.10742,             0.21545,            0.035143,            0.009307,            0.009307,            0.009307
                  16,             0.11015,             0.15809,            0.031273,             0.45871,             0.21775,             0.19353,            0.090391,             0.10629,             0.21182,            0.033772,           0.0092575,           0.0092575,           0.0092575
                  17,             0.10966,             0.15692,            0.031002,             0.47202,              0.2207,             0.19774,            0.092988,             0.10594,              0.2121,            0.033447,            0.009208,            0.009208,            0.009208
